Content,Date
"Ad una azienda di abbigliamento di Alessandria si deve l'invenzione di un tipo di cappello in feltro che venne chiamato Borsalino. L'Azienda produce cappelli che si distinguono per la cura, i dettagli e l'uso dei migliori materiali. Dopo una crisi la Borsalino si sta riprendendo alla grande. Famosi attori nei loro film hanno indossato il Borsalino. Humphrey Bogart in"" Casablanca"" Jean Paul Belmondo e Alain Delon nel film ""I marsigliesi""Johnny Depp, Marcello Mastroianni è molti altri. L'augurio è che questa casa di moda continui a dare lustro all'Italia.",2023-01-07
一昨年のの7月に行きました。3月にローマで私と奥さんが買ったボルサリーノ、息子に買ってあげるがどうかと聞いたらいらないと言っていたのですが、帰国後、私達が被っているのをみて欲しく成ったみたいで、ミラノに行ったら自分でボルサリーノを購入すると言っていたので、お邪魔致しました。色々と被ってみた息子　気に入った一品が見つかようでしたが、買わないと言っていたので、何故かと聞いたら、その品日本円で４万円弱するものでした。高校生の息子にはちょっと高いので買うのを諦めたみたいで、奥さんが他のも似合うからと進めても要らないとのこと。私がそれが気に入ったなら、買ってあげるよ　と言うと有難うと言う息子　帽子は専用ボックスに入れてくれました。ミラノ・フェレンツェフに居る間　息子は何処に行くにもボルサリーノのパナマ帽を被っていました。息子も私達夫婦も良い旅行になりました。,2023-01-06
"Siamo stati mezz'ora fuori dal negozio, all'interno due commesse che stavano facendo provare decine di cappelli ad una coppia noncuranti della gente fuori ad aspettare. Mancanza di rispetto.Non so se alla fine hanno acquistato, vista la grande indecisione, noi che invece avevamo le idee molto chiare e pronti ad acquistare alla fine siamo andati via.",2023-01-05
"I’m a big fan of Borsalino. Bought at least 20 hats and they are all high quality. Feel surprised that the sales lady in this particular store is a racist. She deliberately ignored certain customers. It might affect my future purchase there. In addition, sales in Rome is a delight!",2023-01-01
"Fiore all'occhiello della moda italiana, questo locale è davvero un emblema storico del fashion. Piccolino come locale, ma completo di tutto,  staff cordiale e disponibile. Un posto perfetto se si è in cerca di qualcosa che aggiunga un pò di stile al proprio look.",2023-01-07
"Extremely helpful staff, a fundamental element for such a high-level boutique.Wide choice, adequate value for money and, as always, the unmistakability of the brand, both on the classic and on the latest novelties.",2023-01-06
Très  belle boutique et chapeaux de grande qualité.  Accueil  pas très sympathique ni attentionné.  Peut être est ce du à  l'affluence  des fêtes  de Noël. Peut mieux faire.,2023-01-05
"Nulla da dire sulla qualità eccelsa dei prodotti, Borsalino è da sempre una garanzia! Personale simpaticissimo e super competente! Una vera eccellenza italiana!",2023-01-07
Small charming shop in the famous mall in the world. Staff were very polite and very helpful. Hats are very good quality. I walked out buying 6 hats for myself.,2023-01-07
Great selection!! Came in at closing time and they waited patiently for me to browse. Pricey but great quality as expected from an Italian made product,2023-01-05
Beaucoup trop fréquentée la boutique assez étroite est un peu étouffante. La vendeuse a fait tomber une pile de chapeaux du fait du manque de place.,2023-01-05
新作の帽子をCheckしにガレリアの店舗へ👒✨英語で対応をして頂けます🇬🇧日本の1/2程のお値段なので…今季限定品を含め、クラシカルなデザインの帽子を、2個ほどお買い上げ😍👍店員さんに普段の服装や、好みを伝えると、似合う帽子を出してきてくれます🎩❣️,2023-01-02
Ottimo regalo di Natale ma poche taglie disponibili e poca varietà di modelli. Chiudeva in pausa pranzo alla Vigilia di Natale.. bo,2023-01-03
"A little shop with lots of hat. If you’re looking for a posh hat, a flat cap or a summer bonnet, head to boutique Borsalino.",2023-01-07
"In Galleria Vittorio Emanuele II. L'eccellenza, lo stato dell'arte del cappello tipo Fedora e non. Prezzi accessibilissimi",2023-01-07
"Cortesia, classe e una profonda conoscenza dell'arte del cappello...meno male che in Italia esistono ancora botteghe così",2023-01-05
Negozio storico. Grande scelta di modelli del famoso cappello. Qualità assoluta. Stile inconfondibile. Un must,2023-01-05
Vasto assortimento donna e uomo; la commessa molto gentile e pronta a cogliere l'esigenza della cliente.,2023-01-03
Signora gentilissima e alla mano! Cappelli d eccellenza! Ci tornerò sicuramente! Grazie,2023-01-03
"Disappointing that their so called 'Panama' hats are made in Italy, not Equador.......",2023-01-07
"Non ho trovato ciò  che cercavo, ma la commessa è  stata molto disponibile e gentile",2023-01-05
Very central shop in Milan for a unique item. Only beauty.Pino Attanasio reporter,2023-01-03
"Assistente alla Vendita preparato e cortese, quasi una rarità ormai. Complimenti",2023-01-07
イタリア語しか通じませんが、大変丁寧に対応してくれます。ガイドブックに載っている程度の会話でなんとかなりますので、ぜひ本物を求めに訪れてはいかがでしょう。,2023-01-06
"Acquisti in via S.Andrea e in galleria, venditrici gentili e professionali",2023-01-07
One of the shop staffs was very impolite. (Like “get off if you don’t buy),2023-01-02
"Accoglienza e gentilezza con la clientela, ma con BORSALINO non sbagli mai",2023-01-05
"Magnifique, vendeuses très attentives.  Parfait pour un beau chapeau",2023-01-07
"Small shopVery kind and professional saleswomanPrices, I don't know",2023-01-07
Negozio piccolino ma fornitissimo. Ho trovato quello che cercavo,2023-01-06
"Me encantó, sitio de tradición, eso sí para tener una buena VISA",2023-01-07
Negozio per amanti del cappello per eccellenza. Da visitare,2023-01-06
They offer high quality hatters. Fashion style hand made.,2023-01-06
Belle vetrine che ti invitano ad entrare.marchio storico,2023-01-05
Locale storico di Milano. Personale molto professionale.,2023-01-05
"Un negozio storico a Milano, con merce unica e pediatra",2023-01-04
Non siamo entrati ma da fuori sembrava meraviglioso,2023-01-04
Belli i cappelli invernali ma anche quelli estivi,2023-01-02
Dépêchez vous avant que Borsalino disparaisse !,2023-01-08
Articoli esposti molto bene ed alla moda,2023-01-07
È un locale signorile ben attrezzato,2023-01-07
Sitio espectacular 👌maravilloso 👏,2023-01-06
"Excellent store, excellent service",2023-01-05
Trasmette aria di altri tempi,2023-01-05
Ottima scelta di cappelli,2023-01-03
Sicuramente migliorabile,2023-01-08
Una eccellenza italiana,2023-01-07
Магазин стильных шляп,2023-01-05
Classico per sempre.,2023-01-03
Squisita gentilezza,2023-01-08
